old_path,filename,size,last_modified,frontmatter_title,frontmatter_version,frontmatter_type,diataxis_category,target_path,cross_refs
A-H-INDEX.md,A-H-INDEX.md,4322,2026-07-14T00:24:46.042462,,,,explanation,docs/explanation/A-H-INDEX.md,../README.md; ../../prompts/system-prompt-template.md; ../../prompts/
README.md,README.md,3077,2026-07-14T00:15:34.894862,,,,explanation,docs/explanation/README.md,
refactor-research-pool-rename-plan.md,refactor-research-pool-rename-plan.md,22156,2026-07-14T00:15:34.899867,,,,reference,docs/reference/refactor-research-pool-rename-plan.md,
00-meta/23-core-docs-final-verification-report.md,23-core-docs-final-verification-report.md,7991,2026-07-14T08:28:18.232827,,,,explanation,docs/00-meta/23-core-docs-final-verification-report.md,
00-meta/23-core-docs-functional-match-report.md,23-core-docs-functional-match-report.md,9641,2026-07-14T08:28:18.232827,,,,explanation,docs/00-meta/23-core-docs-functional-match-report.md,
00-meta/23-core-docs-v2-final-report.md,23-core-docs-v2-final-report.md,10061,2026-07-14T08:28:18.234840,,,,explanation,docs/00-meta/23-core-docs-v2-final-report.md,
00-meta/23个核心文档重新检索报告.md,23个核心文档重新检索报告.md,7740,2026-07-14T08:28:18.234840,,,,how-to,docs/00-meta/23个核心文档重新检索报告.md,
00-meta/CHANGELOG_WARNINGS_HANDLING_STRATEGY.md,CHANGELOG_WARNINGS_HANDLING_STRATEGY.md,4342,2026-07-14T08:28:18.234840,,,,explanation,docs/00-meta/CHANGELOG_WARNINGS_HANDLING_STRATEGY.md,
00-meta/CLEANUP_SCHEDULE.md,CLEANUP_SCHEDULE.md,3918,2026-07-14T08:28:18.234840,,,,explanation,docs/00-meta/CLEANUP_SCHEDULE.md,
00-meta/directory-audit-report-v1.4.3.md,directory-audit-report-v1.4.3.md,12618,2026-07-14T08:28:18.256527,,,,explanation,docs/00-meta/directory-audit-report-v1.4.3.md,
00-meta/DIRECTORY_AUDIT_FEASIBILITY_PLAN.md,DIRECTORY_AUDIT_FEASIBILITY_PLAN.md,12784,2026-07-14T08:28:18.234840,,,,explanation,docs/00-meta/DIRECTORY_AUDIT_FEASIBILITY_PLAN.md,
00-meta/DIRECTORY_AUDIT_TODO.md,DIRECTORY_AUDIT_TODO.md,11294,2026-07-14T08:28:18.234840,,,,explanation,docs/00-meta/DIRECTORY_AUDIT_TODO.md,
00-meta/DIRECTORY_STRUCTURE_AUDIT_REPORT.md,DIRECTORY_STRUCTURE_AUDIT_REPORT.md,11451,2026-07-14T08:28:18.234840,,,,explanation,docs/00-meta/DIRECTORY_STRUCTURE_AUDIT_REPORT.md,
00-meta/DIRECTORY_STRUCTURE_GUIDE.md,DIRECTORY_STRUCTURE_GUIDE.md,34235,2026-07-14T08:28:18.234840,,,,how-to,docs/00-meta/DIRECTORY_STRUCTURE_GUIDE.md,
00-meta/doc-auto-update-kanban.md,doc-auto-update-kanban.md,11630,2026-07-14T08:28:18.259110,文档自动更新体系 — 任务看板（单一事实源）,,,explanation,docs/00-meta/doc-auto-update-kanban.md,
00-meta/doc-file-management-optimization-plan.md,doc-file-management-optimization-plan.md,21449,2026-07-14T08:28:18.259110,,,,reference,docs/00-meta/doc-file-management-optimization-plan.md,
00-meta/doc-system-check-v9.md,doc-system-check-v9.md,31789,2026-07-14T08:28:18.259110,,,,explanation,docs/00-meta/doc-system-check-v9.md,
00-meta/doc-trigger-action-map.md,doc-trigger-action-map.md,8402,2026-07-14T08:28:18.259110,,,,explanation,docs/00-meta/doc-trigger-action-map.md,
00-meta/FILE-MANAGEMENT-GUIDE-cleanup-decisions.md,FILE-MANAGEMENT-GUIDE-cleanup-decisions.md,9245,2026-07-14T08:28:18.234840,,,,how-to,docs/00-meta/FILE-MANAGEMENT-GUIDE-cleanup-decisions.md,
00-meta/FILE-MANAGEMENT-GUIDE-file-wandering-report.md,FILE-MANAGEMENT-GUIDE-file-wandering-report.md,17087,2026-07-14T08:28:18.237354,,,,how-to,docs/00-meta/FILE-MANAGEMENT-GUIDE-file-wandering-report.md,../../AGENTS.md
00-meta/FILE-MANAGEMENT-GUIDE-optimization-prompt.md,FILE-MANAGEMENT-GUIDE-optimization-prompt.md,19915,2026-07-14T08:28:18.237354,,,,how-to,docs/00-meta/FILE-MANAGEMENT-GUIDE-optimization-prompt.md,../../AGENTS.md
00-meta/FILE-MANAGEMENT-GUIDE-RCA-report.md,FILE-MANAGEMENT-GUIDE-RCA-report.md,31476,2026-07-14T08:28:18.234840,,,,how-to,docs/00-meta/FILE-MANAGEMENT-GUIDE-RCA-report.md,../../AGENTS.md; ../00-meta/trae-file-management-review.md
00-meta/FILE-MANAGEMENT-GUIDE-task-list.md,FILE-MANAGEMENT-GUIDE-task-list.md,13473,2026-07-14T08:28:18.237354,,,,how-to,docs/00-meta/FILE-MANAGEMENT-GUIDE-task-list.md,../../AGENTS.md; ../00-meta/trae-file-management-review.md
00-meta/GOVERNANCE.md,GOVERNANCE.md,8212,2026-07-14T08:28:18.237354,,,,reference,docs/00-meta/GOVERNANCE.md,
00-meta/migration-plan.md,migration-plan.md,10691,2026-07-14T08:28:18.259110,,,,reference,docs/00-meta/migration-plan.md,
00-meta/outputs-and-undefined-src-evaluation-report.md,outputs-and-undefined-src-evaluation-report.md,14743,2026-07-14T08:28:18.259110,,,,explanation,docs/00-meta/outputs-and-undefined-src-evaluation-report.md,
00-meta/P5-verification-report.md,P5-verification-report.md,5287,2026-07-14T08:28:18.237354,,,,explanation,docs/00-meta/P5-verification-report.md,
00-meta/prompt-execute-remediation.md,prompt-execute-remediation.md,6224,2026-07-14T08:28:18.260968,,,,explanation,docs/00-meta/prompt-execute-remediation.md,
00-meta/prompt-merge-dedup.md,prompt-merge-dedup.md,4240,2026-07-14T08:28:18.260968,,,,explanation,docs/00-meta/prompt-merge-dedup.md,
00-meta/REGISTRY_INDEX.md,REGISTRY_INDEX.md,21634,2026-07-14T08:28:18.237354,,,,reference,docs/00-meta/REGISTRY_INDEX.md,
00-meta/src-directories-evaluation-report.md,src-directories-evaluation-report.md,13034,2026-07-14T08:28:18.260968,,,,explanation,docs/00-meta/src-directories-evaluation-report.md,
00-meta/trae-file-management-review.md,trae-file-management-review.md,17612,2026-07-14T08:28:18.260968,,,,explanation,docs/00-meta/trae-file-management-review.md,
00-meta/v9-next-phase-todo.md,v9-next-phase-todo.md,15449,2026-07-14T08:28:18.261982,V9 文档体系治理 — 下一阶段任务图（P4 执行计划）,,,explanation,docs/00-meta/v9-next-phase-todo.md,
00-meta/V9-PRE-LAUNCH-AUDIT-REPORT-20260713.md,V9-PRE-LAUNCH-AUDIT-REPORT-20260713.md,4386,2026-07-14T08:28:18.237354,,,,explanation,docs/00-meta/V9-PRE-LAUNCH-AUDIT-REPORT-20260713.md,
00-meta/V9-文档治理修复行动计划.md,V9-文档治理修复行动计划.md,16040,2026-07-14T08:28:18.239362,,,,reference,docs/00-meta/V9-文档治理修复行动计划.md,
00-meta/V9-项目健康状态总览.md,V9-项目健康状态总览.md,17702,2026-07-14T08:28:18.239362,,,,explanation,docs/00-meta/V9-项目健康状态总览.md,
00-meta/执行校验报告.md,执行校验报告.md,6594,2026-07-14T08:28:18.261982,,,,explanation,docs/00-meta/执行校验报告.md,
00-meta/文档体系体检报告-v9.md,文档体系体检报告-v9.md,35654,2026-07-14T08:28:18.261982,,,,explanation,docs/00-meta/文档体系体检报告-v9.md,
00-meta/文档体系修复执行计划-v1.md,文档体系修复执行计划-v1.md,5293,2026-07-14T08:28:18.261982,,,,explanation,docs/00-meta/文档体系修复执行计划-v1.md,
00-meta/文档归类体系结构.md,文档归类体系结构.md,31912,2026-07-14T08:28:18.261982,,,,reference,docs/00-meta/文档归类体系结构.md,
00-meta/文档理解核查报告.md,文档理解核查报告.md,16690,2026-07-14T08:28:18.261982,,,,reference,docs/00-meta/文档理解核查报告.md,
00-meta/文档管理系统评分报告.md,文档管理系统评分报告.md,9781,2026-07-14T08:28:18.261982,,,,explanation,docs/00-meta/文档管理系统评分报告.md,
00-meta/文档自动更新体系-架构梳理与任务清单.md,文档自动更新体系-架构梳理与任务清单.md,24844,2026-07-14T08:28:18.261982,,,,reference,docs/00-meta/文档自动更新体系-架构梳理与任务清单.md,
00-meta/月度文档体检检查清单.md,月度文档体检检查清单.md,4190,2026-07-14T08:28:18.261982,月度文档体系体检检查清单,,,explanation,docs/00-meta/月度文档体检检查清单.md,
00-meta/ai-index/.ai-index/README.md,README.md,4114,2026-07-14T08:28:18.242242,,,,explanation,docs/00-meta/README.md,
00-meta/deprecated-docs/old-versions/DATA_DEFINITION-v1.0.0-cockpit.md,DATA_DEFINITION-v1.0.0-cockpit.md,5823,2026-07-14T08:28:18.253509,驾驶舱 Widget 数据定义,,,reference,docs/00-meta/DATA_DEFINITION-v1.0.0-cockpit.md,
00-meta/deprecated-docs/old-versions/DATA_DICTIONARY_INDEX-v1.6.0.md,DATA_DICTIONARY_INDEX-v1.6.0.md,13054,2026-07-14T08:28:18.253509,,,,reference,docs/00-meta/DATA_DICTIONARY_INDEX-v1.6.0.md,
