"Path","Tier","Type","Domain","TotalScore","CoreScore","RecommendedScore","QualityScore","StructureScore"
"docs\explanation\design\dataflow-data-definition.md","important","explanation","data","95.8","30","20.8","25","20"
"docs\explanation\design\multi-factor-screening-data-definition.md","important","explanation","data","95.8","30","20.8","25","20"
"docs\explanation\design\news-data-definition.md","important","explanation","data","95.8","30","20.8","25","20"
"docs\reports\audit\mcp-server-governance-retrospective.md","important","reports","ai","95.8","30","20.8","25","20"
"docs\00-meta\doc-file-management-optimization-plan.md","important","meta","project","95.8","30","20.8","25","20"
"docs\explanation\multi-factor-screening-data-definition.md","important","explanation","data","95.8","30","20.8","25","20"
"docs\explanation\design\data-definition.md","important","explanation","data","95.8","30","20.8","25","20"
"docs\explanation\dataflow-data-definition.md","important","explanation","data","95.8","30","20.8","25","20"
"docs\how-to\pwa-offline-guide.md","important","how-to","project","95.8","30","20.8","25","20"
"docs\explanation\design\迁移风险复盘与应对策略文档.md","important","explanation","project","95.8","30","20.8","25","20"
"docs\explanation\design\v9-code-quality-kanban-20260629.md","important","explanation","qa","95.8","30","20.8","25","20"
"docs\explanation\design\p4-文档去重清单与执行方案.md","important","explanation","project","95.8","30","20.8","25","20"
"docs\explanation\design\tech-debt.md","important","explanation","project","95.8","30","20.8","25","20"
"docs\explanation\design\v6-v9界面设计优化可行性计划.md","important","explanation","project","95.8","30","20.8","25","20"
"docs\explanation\a11y-checklist.md","important","explanation","qa","95.8","30","20.8","25","20"
"docs\explanation\design\analysis-screening-module-dev-plan.md","important","explanation","backend","95.8","30","20.8","25","20"
"docs\explanation\news-data-definition.md","important","explanation","data","95.8","30","20.8","25","20"
"docs\explanation\adr-005-portalshell-dark-kimi-layout.md","important","explanation","frontend","95.8","30","20.8","25","20"
"docs\reference\refactor-research-pool-rename-plan.md","important","reference","backend","95.8","30","20.8","25","20"
"docs\reference\changelogs\2026-07\pr-7-trade-error-classifier-split-plan.md","important","reference","project","95.8","30","20.8","25","20"
"docs\reference\testing-strategy.md","important","reference","qa","95.8","30","20.8","25","20"
"docs\explanation\regression-suite.md","standard","explanation","qa","95","30","20","25","20"
"docs\reports\retrospectives\e2e-verify-25stocks-plan.md","standard","reports","qa","95","30","20","25","20"
"docs\explanation\design\deprecated-batch3-merge-report.md","standard","explanation","project","95","30","20","25","20"
"docs\reports\retrospectives\2026-07-09-remaining-p1-gaps-fix-plan.md","standard","reports","project","95","30","20","25","20"
"docs\explanation\design\业务能力补充报告_自选股异动_2026-07-09.md","standard","explanation","frontend","95","30","20","25","20"
"docs\explanation\design\v9-strategy-architecture.md","standard","explanation","architecture","95","30","20","25","20"
"docs\explanation\design\stock-selection-strategy.md","standard","explanation","backend","95","30","20","25","20"
"docs\explanation\design\deprecated-batch1-merge-report.md","standard","explanation","project","95","30","20","25","20"
"docs\explanation\design\component-library-guide.md","standard","explanation","frontend","95","30","20","25","20"
"docs\explanation\stock-selection-strategy.md","standard","explanation","backend","95","30","20","25","20"
"docs\reference\changelogs\2026-07\jsdoc-update-summary-20260712.md","standard","reference","project","95","30","20","25","20"
"docs\explanation\design\optimization-summary-report.md","standard","explanation","project","95","30","20","25","20"
"docs\explanation\regression-test-report.md","standard","explanation","qa","95","30","20","25","20"
"docs\explanation\2026-07-05-exception-handling-test-report.md","standard","explanation","qa","95","30","20","25","20"
"docs\explanation\design\databridge改进建议整改报告.md","standard","explanation","data","95","30","20","25","20"
"docs\reference\changelogs\2026-07\pr-5-build-optimization-summary.md","standard","reference","project","95","30","20","25","20"
"docs\reference\test-catalog.md","important","reference","qa","94.8","30","20.8","25","19"
"docs\explanation\adr-001-pure-frontend-architecture.md","important","explanation","architecture","93.8","30","20.8","23","20"
"docs\explanation\adr-008-v6-core-resource-trading-strategy.md","important","explanation","architecture","93.8","30","20.8","23","20"
"docs\explanation\design\数据治理路线图.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\design\踩坑规则门禁指南.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\ai-memory-layer.md","important","explanation","ai","93.8","30","20.8","23","20"
"docs\explanation\A-H-INDEX.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\adr-004-hashrouter-static-hosting.md","important","explanation","architecture","93.8","30","20.8","23","20"
"docs\explanation\b批次高价值孤儿集成状态报告-2026-07-08.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\cabins-overview.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\design\pending-items-backlog-20260704.md","important","explanation","project","93.8","30","20.8","23","20"
"docs\explanation\design\ui改善部分检索报告.md","important","explanation","project","93.8","30","20.8","23","20"
