"ArchiveID","Title","OriginalPath","ArchivePath","ArchiveLevel","ArchiveDate","ArchiveReason","SupersededBy","Domain","FinalVersion","FileSize"
"V9-ARCH-0001","adr-001-pure-frontend-architecture","docs/archive/historical-2026-08-16/batch8/adr-001-pure-frontend-architecture.md","docs/archive/important/adr-001-pure-frontend-architecture.md","A","2026-08-17","Important historical document","","general","N/A","6264"
"V9-ARCH-0002","adr-004-hashrouter-static-hosting","docs/archive/historical-2026-08-16/batch8/adr-004-hashrouter-static-hosting.md","docs/archive/important/adr-004-hashrouter-static-hosting.md","A","2026-08-17","Important historical document","","general","N/A","4199"
"V9-ARCH-0003","adr-005-portalshell-dark-kimi-layout","docs/archive/historical-2026-08-16/batch8/adr-005-portalshell-dark-kimi-layout.md","docs/archive/important/adr-005-portalshell-dark-kimi-layout.md","A","2026-08-17","Important historical document","","general","N/A","4665"
"V9-ARCH-0004","adr-015-duckdb-wasm-timeseries","docs/archive/historical-2026-08-16/batch8/adr-015-duckdb-wasm-timeseries.md","docs/archive/important/adr-015-duckdb-wasm-timeseries.md","A","2026-08-17","Important historical document","","general","N/A","8824"
"V9-ARCH-0005","agent-runtime-spec","docs/archive/historical-2026-08-16/batch8/agent-runtime-spec.md","docs/archive/important/agent-runtime-spec.md","A","2026-08-17","Important historical document","","general","N/A","5052"
"V9-ARCH-0006","api-contracts","docs/archive/historical-2026-08-16/batch7/docs/explanation/architecture/api-contracts.md","docs/archive/important/architecture/api-contracts.md","A","2026-08-17","Important historical document","","architecture","N/A","937"
"V9-ARCH-0007","v9-strategy-architecture","docs/archive/historical-2026-08-16/batch7/docs/explanation/architecture/v9-strategy-architecture.md","docs/archive/important/architecture/v9-strategy-architecture.md","A","2026-08-17","Important historical document","","architecture","N/A","48365"
"V9-ARCH-0008","architecture-version-comparison","docs/archive/historical-2026-08-16/batch8/architecture-version-comparison.md","docs/archive/important/architecture-version-comparison.md","A","2026-08-17","Important historical document","","general","N/A","13325"
"V9-ARCH-0009","component-specs","docs/archive/historical-2026-08-16/batch8/component-specs.md","docs/archive/important/component-specs.md","A","2026-08-17","Important historical document","","general","N/A","18356"
"V9-ARCH-0010","data-collection-architecture","docs/archive/historical-2026-08-16/batch8/data-collection-architecture.md","docs/archive/important/data-collection-architecture.md","A","2026-08-17","Important historical document","","general","N/A","14127"
