old_path,filename,size,last_modified,script_type,target_subdir,package_json_registered,dependencies,description
a11y-contrast.cjs,a11y-contrast.cjs,14962,2026-07-10T08:36:59.847647,other,other,true,fs; path,!/usr/bin/env node
analyze-code-graph.cjs,analyze-code-graph.cjs,7016,2026-07-05T23:04:57.823182,other,other,true,fs; path; to,
anomaly-detector.ts,anomaly-detector.ts,12839,2026-07-05T23:04:41.821134,other,other,true,node:path; node:child_process; node:fs,!/usr/bin/env node
audit-ai-output.ts,audit-ai-output.ts,6665,2026-07-13T00:43:34.915640,audit,audit,true,,
audit-atomic.ts,audit-atomic.ts,14537,2026-07-11T21:48:12.432729,audit,audit,true,node:url,
audit-batch-c-scanner.ts,audit-batch-c-scanner.ts,15262,2026-07-08T18:10:09.559040,audit,audit,true,url,
audit-color-tokens.ts,audit-color-tokens.ts,3492,2026-07-13T15:50:08.081151,audit,audit,true,path; glob; node:url; fs/promises,
audit-component-usage.ts,audit-component-usage.ts,8553,2026-07-13T15:50:08.081151,audit,audit,true,fs; path,
audit-db-references.ts,audit-db-references.ts,19817,2026-07-13T13:27:26.610227,audit,audit,true,node:url,!/usr/bin/env tsx
audit-dead-code.ts,audit-dead-code.ts,25907,2026-07-13T15:50:08.082498,audit,audit,true,node:url; react,!/usr/bin/env tsx
audit-dependencies.ts,audit-dependencies.ts,7457,2026-07-12T15:40:59.258794,audit,audit,true,url; dependency-cruiser,
audit-doc-integrity.ts,audit-doc-integrity.ts,17788,2026-07-14T08:28:18.315655,audit,audit,true,node:path; node:url; node:fs,!/usr/bin/env tsx
audit-doc-sync.ts,audit-doc-sync.ts,10304,2026-07-13T21:10:54.779436,audit,audit,true,node:path; node:child_process; node:url; node:fs,!/usr/bin/env tsx
audit-execution-paths.ts,audit-execution-paths.ts,8799,2026-07-08T18:10:09.563855,audit,audit,true,node:url,!/usr/bin/env tsx
audit-hardcode.ts,audit-hardcode.ts,34093,2026-07-13T13:28:24.115762,audit,audit,true,node:url,!/usr/bin/env tsx
audit-inline-colors.ts,audit-inline-colors.ts,7488,2026-07-13T15:50:08.083502,audit,audit,true,node:url,!/usr/bin/env tsx
audit-jsdoc.ts,audit-jsdoc.ts,3356,2026-07-10T23:29:06.331652,audit,audit,true,glob,
audit-layer-calls.ts,audit-layer-calls.ts,18076,2026-07-13T15:50:08.083502,audit,audit,true,node:url,!/usr/bin/env tsx
